x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1
120,349,435,0,1344,349,823,0,-0.011198600072671
119,349,436,0,1340,349,825,0,0.003676772075696
115,349,430,0,1338,349,830,0,0.0048058777036
119,349,428,0,1344,349,832,0,0.0048058777036
108,349,426,0,1322,349,811,0,-0.008701631517989
118,349,431,0,1333,349,815,0,-0.008701631517989
123,349,427,0,1325,349,815,0,-0.003927224539194
111,349,426,0,1346,349,827,0,-0.004831371558022
113,349,425,0,1317,349,806,0,-0.005114058118895
114,349,421,0,1303,349,797,0,-0.005114058118895
100,349,418,0,1311,349,804,0,0.009026661216116
104,349,417,0,1308,349,811,0,-0.000428998616473
104,349,417,0,1319,349,806,0,-0.000428998616473
94,349,424,0,1338,349,818,0,-0.001129547073993
103,349,418,0,1284,349,793,0,-0.001036768174747
103,349,420,0,1351,349,809,0,-0.001036768174747
102,349,417,0,1329,349,818,0,0.002208199414265
104,349,419,0,1320,349,808,0,-0.005211412686768
93,349,427,0,1282,349,800,0,-0.003965319008
100,349,412,0,1317,349,809,0,0.004998864725255
96,349,422,0,1313,349,815,0,0.000793517518501
94,349,420,0,1338,349,826,0,0.005587716598984
93,349,421,0,1339,349,827,0,0.000129488300813
96,349,413,0,1301,349,814,0,0.007387412966723
93,349,414,0,1343,349,831,0,0.014791570187756
86,349,411,0,1307,349,820,0,0.005256684789436
83,349,411,0,1292,349,815,0,0.005256684789436
82,349,411,0,1314,349,828,0,0.01229292986618
87,349,412,0,1357,349,846,0,0.01229292986618
82,349,420,0,1363,349,848,0,0.013248435945454
90,349,416,0,1363,349,851,0,0.002635304784968
92,349,422,0,1340,349,844,0,0.008526618286161
97,349,429,0,1412,349,870,0,0.006337578226595
100,349,425,0,1365,349,853,0,0.00499015923896
108,349,431,0,1384,349,864,0,0.004381908996833
115,349,433,0,1331,349,835,0,0.001853783160013
109,349,437,0,1345,349,830,0,0.000626636114597
113,349,438,0,1341,349,831,0,0.000590830282777
119,349,438,0,1358,349,830,0,-0.002939186307971
344,349,595,0,1331,349,833,0,-0.002939186307971
423,349,663,0,1362,349,842,0,-0.004122123351302
419,349,681,0,1377,349,849,0,-0.004122123351302
403,349,652,0,1367,349,852,0,-0.005837422374636
122,349,435,0,1337,349,835,0,-0.005837422374636
119,349,436,0,1383,349,867,0,-0.00528086654518
122,349,438,0,1366,349,858,0,-0.005190705474526
122,349,438,0,1376,349,870,0,-0.005190705474526
123,349,437,0,1359,349,855,0,-0.004944639126663
113,349,436,0,1384,349,873,0,-0.004944639126663
122,349,437,0,1358,349,853,0,-0.003203771565857
119,349,438,0,1390,349,870,0,-0.003598091906029
122,349,432,0,1400,349,877,0,-0.002941166844602
117,349,437,0,1346,349,853,0,-0.001420039962262
106,349,444,0,1382,349,868,0,-0.001420039962262
122,349,432,0,1392,349,870,0,-0.00124858904568
114,349,431,0,1440,349,887,0,-0.001056407973666
118,349,430,0,1406,349,877,0,0.000408509368399
115,349,432,0,1401,349,874,0,0.00032916259936
116,349,432,0,1377,349,868,0,0.00032916259936
117,349,428,0,1362,349,857,0,0.001030700632877
120,349,426,0,1399,349,881,0,0.001030700632877
115,349,427,0,1384,349,866,0,0.001347764760767
117,349,432,0,1385,349,868,0,0.001347764760767
108,349,434,0,1391,349,864,0,4.78282041400262E-05
120,349,427,0,1403,349,881,0,0.000336102239681
118,349,427,0,1392,349,879,0,0.001319796539862
118,349,427,0,1434,349,890,0,0.001319796539862
110,349,429,0,1389,349,873,0,0.000700516740943
114,349,432,0,1433,349,890,0,0.000700516740943
123,349,423,0,1388,349,869,0,-0.001269401657323
122,349,424,0,1386,349,870,0,-4.93155575249758E-05
119,349,422,0,1401,349,883,0,-4.93155575249758E-05
124,349,423,0,1423,349,887,0,-0.001032629883044
119,349,428,0,1391,349,873,0,-0.000533890562609
126,349,426,0,1387,349,872,0,-0.000533890562609
125,349,425,0,1388,349,874,0,-0.001155858863104
121,349,427,0,1361,349,859,0,-0.001188441292652
123,349,427,0,1406,349,878,0,-0.000231478864193
121,349,430,0,1433,349,891,0,-0.001272958240428
