x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1,g2,g3
118,349,437,0,1381,349,852,0,0.000402744195914,-0.000402744195914,0.402744195914
114,349,437,0,1381,349,852,0,0.000402744195914,-0.000402744195914,0.402744195914
126,349,432,0,1337,349,839,0,0.000841076974333,-0.000841076974333,0.841076974333
126,349,435,0,1352,349,845,0,0.000863919915088,-0.000863919915088,0.863919915088
122,349,435,0,1319,349,830,0,0.000115985174641,-0.000115985174641,0.115985174641
123,349,436,0,1365,349,855,0,-0.013661785619984,0.013661785619984,-13.661785619984
127,349,432,0,1369,349,855,0,-0.013661785619984,0.013661785619984,-13.661785619984
123,349,436,0,1359,349,849,0,1.69709952790729E-05,-1.69709952790729E-05,0.016970995279073
122,349,441,0,1352,349,854,0,0.000492504325525,-0.000492504325525,0.492504325525
125,349,432,0,1371,349,854,0,-0.012535656966426,0.012535656966426,-12.535656966426
123,349,434,0,1379,349,854,0,0.00241009518266,-0.00241009518266,2.41009518266
123,349,433,0,1364,349,840,0,0.003708178155161,-0.003708178155161,3.708178155161
115,349,431,0,1355,349,841,0,0.004255846438745,-0.004255846438745,4.255846438745
114,349,434,0,1356,349,842,0,0.004255846438745,-0.004255846438745,4.255846438745
116,349,432,0,1356,349,841,0,0.004811417686387,-0.004811417686387,4.811417686387
118,349,434,0,1370,349,849,0,-0.010752230517553,0.010752230517553,-10.752230517553
121,349,430,0,1328,349,815,0,-0.010752230517553,0.010752230517553,-10.752230517553
117,349,436,0,1353,349,840,0,0.003990962533851,-0.003990962533851,3.990962533851
115,349,432,0,1342,349,827,0,-0.006802962250073,0.006802962250073,-6.802962250073
112,349,430,0,1353,349,832,0,0.005703315669755,-0.005703315669755,5.703315669755
114,349,429,0,1335,349,823,0,0.005426690228756,-0.005426690228756,5.426690228756
116,349,429,0,1351,349,832,0,0.006661777518473,-0.006661777518473,6.661777518473
112,349,429,0,1341,349,825,0,0.006661777518473,-0.006661777518473,6.661777518473
116,349,434,0,1328,349,818,0,0.005926675995676,-0.005926675995676,5.926675995676
115,349,431,0,1324,349,821,0,0.00643445402664,-0.00643445402664,6.43445402664
117,349,428,0,1356,349,839,0,0.006566014957534,-0.006566014957534,6.566014957534
118,349,432,0,1341,349,829,0,0.004980452101672,-0.004980452101672,4.980452101672
117,349,430,0,1341,349,829,0,0.004980452101672,-0.004980452101672,4.980452101672
123,349,431,0,1359,349,838,0,0.005031191300259,-0.005031191300259,5.031191300259
113,349,435,0,1355,349,832,0,-0.012578105655305,0.012578105655305,-12.578105655305
110,349,435,0,1372,349,849,0,0.002506510125078,-0.002506510125078,2.506510125078
118,349,437,0,1345,349,834,0,0.002506510125078,-0.002506510125078,2.506510125078
124,349,437,0,1340,349,840,0,-0.008783839324644,0.008783839324644,-8.783839324644
122,349,439,0,1380,349,846,0,0.001135845518706,-0.001135845518706,1.135845518706
